orderID,price,quantity,type,side,fullyFilled
133,74195,466,1,1,0
136,74192,22,1,0,0
133,74192,22,1,1,1
133,0,0,1,1,1
133,74194,448,1,0,1
140,74194,448,1,1,0
136,74192,45,1,0,0
140,74192,45,1,1,1
136,74192,258,1,0,0
142,74192,258,1,1,1
142,0,0,1,1,1
142,74207,229,1,1,1
147,74207,229,1,0,0
145,74207,9,1,1,0
147,74207,9,1,0,1
147,0,0,1,0,1
145,74207,221,1,1,1
142,74207,221,1,0,0
111,74208,8,1,1,0
142,74208,8,1,0,1
142,74204,199,1,0,0
145,74204,199,1,1,1
67,74217,310,0,1,1
111,74208,124,1,1,1
149,74208,124,1,0,0
128,74210,42,1,1,0
149,74210,42,1,0,1
135,74190,439,0,0,1
142,74204,14,1,0,1
151,74204,14,1,1,0
136,74192,86,1,0,1
151,74192,86,1,1,0
144,74191,366,1,0,0
151,74191,366,1,1,1
128,74210,198,1,1,1
154,74210,198,1,0,0
147,74211,156,1,1,1
154,74211,156,1,0,0
145,74211,66,1,1,0
154,74211,66,1,0,1
116,74219,332,0,1,1
91,74181,328,0,0,1
158,74192,136,1,1,1
159,74192,136,1,0,0
147,74209,148,1,1,1
159,74209,148,1,0,0
116,74210,79,1,1,0
159,74210,79,1,0,1
138,74189,480,0,0,1
11,74213,260,0,1,1
165,74192,132,1,0,0
168,74192,132,1,1,1
58,74222,131,0,1,1
158,74219,360,0,1,1
32,74183,159,0,0,1
64,74220,436,0,1,1
150,74182,478,0,0,1
131,74188,369,0,0,1
117,74215,202,0,1,1
164,74208,110,1,1,0
117,74208,110,1,0,1
181,74206,347,1,1,1
182,74206,347,1,0,0
164,74208,88,1,1,0
182,74208,88,1,0,1
171,74194,111,1,0,1
182,74194,111,1,1,0
165,74192,194,1,0,0
182,74192,194,1,1,1
165,74192,102,1,0,1
183,74192,102,1,1,0
144,74191,128,1,0,1
183,74191,128,1,1,0
174,74191,267,1,0,0
183,74191,267,1,1,1
174,74191,189,1,0,1
184,74191,189,1,1,0
13,74190,133,1,0,0
184,74190,133,1,1,1
87,74216,388,0,1,1
10,74178,139,0,0,1
123,74217,430,0,1,1
188,74207,112,1,1,1
190,74207,112,1,0,0
164,74208,61,1,1,0
190,74208,61,1,0,1
4,74177,455,0,0,1
159,74180,196,0,0,1
13,74190,293,1,0,1
196,74190,293,1,1,0
46,74190,105,1,0,0
196,74190,105,1,1,1
46,74190,182,1,0,1
13,74190,182,1,1,0
134,74190,133,1,0,0
13,74190,133,1,1,1
164,74208,125,1,1,0
201,74208,125,1,0,1
46,74192,124,1,0,0
207,74192,124,1,1,1
202,74193,368,1,1,1
213,74193,368,1,0,0
213,74195,67,1,0,1
216,74195,67,1,1,0
46,74192,17,1,0,1
216,74192,17,1,1,0
134,74190,239,1,0,1
216,74190,239,1,1,0
133,74190,156,1,0,0
216,74190,156,1,1,1
133,74190,266,1,0,1
216,74190,266,1,1,0
133,74190,166,1,0,0
216,74190,166,1,1,1
216,0,0,1,1,1
215,74206,325,1,1,1
46,74206,325,1,0,0
164,74208,100,1,1,1
46,74208,100,1,0,0
182,74208,12,1,1,0
46,74208,12,1,0,1
22,74217,131,0,1,1
133,74190,66,1,0,1
219,74190,66,1,1,0
108,74189,201,1,0,0
219,74189,201,1,1,1
22,74207,269,1,1,1
220,74207,269,1,0,0
182,74208,201,1,1,1
220,74208,201,1,0,1
186,74208,323,1,1,0
22,74208,323,1,0,1
108,74189,55,1,0,1
219,74189,55,1,1,0
169,74189,46,1,0,0
219,74189,46,1,1,1
137,74213,462,0,1,1
169,74189,99,1,0,1
219,74189,99,1,1,0
176,74189,240,1,0,0
219,74189,240,1,1,1
186,74208,93,1,1,1
219,74208,93,1,0,0
191,74208,208,1,1,0
